initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
NA	responsetrait	1	climate	user_gel_tardif	usergeltardif_low	selectInput	NA	Climate	risk of late frost	Low	Klimaat	risico op late vorst	Laag	Climat	Risque de gelées tardives sur la parcelle	Faible	Klima	Gefahr von Spätfrost	Niedrig	Klima	riziko pozdních mraz?	Nízká
NA	responsetrait	1	climate	user_gel_tardif	usergeltardif_medium	selectInput	NA	Climate	risk of late frost	Medium	Klimaat	risico op late vorst	Matig	Climat	Risque de gelées tardives sur la parcelle	Moyen	Klima	Gefahr von Spätfrost	Mittel	Podnebí	riziko pozdních mraz?	St?ední
NA	responsetrait	1	climate	user_gel_tardif	usergeltardif_high	selectInput	NA	Climate	risk of late frost	High	Klimaat	risico op late vorst	Hoog	Climat	Risque de gelées tardives sur la parcelle	Fort	Klima	Gefahr von Spätfrost	Hoch	Klima	riziko pozdních mraz?	Vysoká
NA	responsetrait	2	climate	user_risk_def_hyd	userriskdefhyd_low	selectInput	NA	Climate	risk of drought	Low	Klimaat	risico op droogte	Laag	Climat	Risque de sécheresse sur la parcelle (sans irrigation)	Faible	Klima	Gefahr von Dürre	Niedrig	Klima	riziko sucha	Nízká
NA	responsetrait	2	climate	user_risk_def_hyd	userriskdefhyd_medium	selectInput	NA	Climate	risk of drought	Medium	Klimaat	risico op droogte	Matig	Climat	Risque de sécheresse sur la parcelle (sans irrigation)	Moyen	Klima	Dürrerisiko	Mittel	Klima	riziko sucha	St?ední
NA	responsetrait	2	climate	user_risk_def_hyd	userriskdefhyd_high	selectInput	NA	Climate	risk of drought	High	Klimaat	risico op droogte	Hoog	Climat	Risque de sécheresse sur la parcelle (sans irrigation)	Fort	Klima	Dürrerisiko	Hoch	Klima	riziko sucha	Vysoká
NA	responsetrait	3	equipment	user_irrigation	userirrigation_no	selectInput	NA	Equipment	Is irrigation possible?	No	Apparatuur	Is irrigatie mogelijk?	Neen	Equipement	Quelle pratique d'irrigation envisagez-vous ?	Pas d'irrigation possible	Ausstattung	Ist eine Bewässerung möglich?	Nein	Za?ízení	Je možné zavlažování?	Ne
NA	responsetrait	3	equipment	user_irrigation	userirrigation_possible	selectInput	NA	Equipment	Is irrigation possible?	Only punctualy	Uitrusting	Is irrigatie mogelijk?	Enkel pleksgewijs	Equipement	Quelle pratique d'irrigation envisagez-vous ?	Irrigation ponctuelle	Ausstattung	Ist Bewässerung möglich?	Nur pünktlich	Vybavení	Je zavlažování možné?	Pouze p?esné
NA	responsetrait	3	equipment	user_irrigation	userirrigation_regular	selectInput	NA	Equipment	Is irrigation possible?	yes regularly	Uitrusting	Is irrigatie mogelijk?	ja regelmatig	Equipement	Quelle pratique d'irrigation envisagez-vous ?	Irrigation régulière	Ausstattung	Ist eine Bewässerung möglich?	ja regelmäßig	Vybavení	Je zavlažování možné?	ano pravideln?
NA	responsetrait	4	soil	user_prof_sol_ara	sol_superficiel	selectInput	NA	Soil	Soil depth	Shallow (<30 cm)	Bodem	Bodemdiepte	Ondiep (<30 cm)	Sol	Profondeur du sol arable de la parcelle	Superficiel (<30cm)	Boden	Bodentiefe	Untief (<30 cm)	P?da	Hloubka p?dy	M?lké (<30 cm)
NA	responsetrait	4	soil	user_prof_sol_ara	sol_moyen	selectInput	NA	Soil	Soil depth	Medium	Bodem	Bodemdiepte	Gemiddeld	Sol	Profondeur du sol arable de la parcelle	Moyen	Boden	Tiefe des Bodens	Mittel	P?da	Hloubka p?dy	St?ední
NA	responsetrait	4	soil	user_prof_sol_ara	sol_profond	selectInput	NA	Soil	Soil depth	Deep (>1m)	Bodem	Bodemdiepte	Diep (>1m)	Sol	Profondeur du sol arable de la parcelle	Profond (> 1m)	Boden	Tiefe des Bodens	Tief (>1m)	P?da	Hloubka p?dy	Hluboké (>1m)
NA	responsetrait	5	soil	user_hyd_sol	hydro_drainant	selectInput	NA	Soil	Hydromorphy	Draining	Bodem	Hydromorfie	Drainerend	Sol	Hydromorphie du sol de la parcelle	drainant	Boden	Hydromorphie	Entwässernd	P?da	Hydromorfie	Odvodn?ní
